Age,Gender,Problem_description,problem_summary,problem_category,psychological_category
28,Female, A woman is sharing their challenges as the only daughter of low-income parents and being married with two children. They rely on their husband's income but struggle to manage household expenses and their parents' medical costs. They desire to start a small business but lack familial support. They feel stressed and depressed and seek advice on how to manage everything and gain support from their parents.,"Financial and emotional stress seeking support.

",financial,stress
34,Male,"After three months of marriage, I am happy with my wife, but the problem is my mother only blames my wife without any fault of hers, causing distress and a sense of injustice in our relationship.",Blaming without fault causing distress in the marriage,relationship,relationship
24,Male,Conflict in the marriage due to extended periods of separation causing emotional distress and strain on mental well-being.,Marital conflicts affecting mental well-being.,financial,relationship
20,Male,"How to increase confidence? Feeling insecure, unsure of taking action after leaving a relationship and fearing the unknown. Unsure of where to go when there is no one to rely on. Concerned about facing new challenges after leaving. Seeking assistance while wanting to maintain independence. Overwhelmed by the current situation and wishing to find a way out.","Seeking guidance on improving confidence and dealing with the challenges of leaving a relationship and facing the unknown.

",self-esteem,stress
30,Male,"The speaker's father passed away when they were young, and their family faced multiple instances of hardship and financial difficulties, requiring them to rely on the support of their mother and siblings.","Family faces adversity, finds strength within.",family,financial
22,Female,"The user is in a complicated situation, caught between a committed relationship with her boyfriend and a non-committed physical relationship with a senior. She is unsure about what to do and needs guidance.","Relationship dilemma: committed boyfriend vs non-committed senior. Guidance needed.

",relationship,anxiety
25,Female,The user was previously in a relationship but now constantly dwells on past memories and struggles to move on.,Struggling to move on from past relationship.,relationship,stress
26,Male,"The user's ex-girlfriend left abruptly due to societal expectations surrounding second marriage in Hindu culture, causing emotional distress.",Ex-girlfriend left due to societal pressure.,relationship,emotional
24,Male,"The user is experiencing emotional turmoil due to an eight-year-long relationship where their partner shows disinterest and neglect, causing feelings of rejection and low self-worth.",Neglect in a long-term relationship causes distress,relationship,stress
23,Female,"The user feels overwhelmed by their spouse's excessive calls and demands for attention, leading to feelings of frustration and fatigue in their busy life",User seeks help dealing with spouse's demands,relationship,stress
26,Female,"The user is facing pressure regarding marriage due to differing expectations with their family, seeking advice on how to stay true to their religious beliefs and find a compatible life partner.", User seeks advice on marriage pressure,relationship,relationship
22,Female," User is receiving continuous unwanted messages from a tutoring website despite multiple attempts to unsubscribe, seeking advice on how to stop the messages.",User seeks help to stop unwanted messages.,communication,frustration
25,Male," The user is facing financial obstacles in getting married and feels disheartened by family's lack of support, considering seeking a marriage proposal from someone willing to help financially.",User faces financial struggles in marriage plans.,financial,frustration
24,Male,"The user is troubled by financial constraints, legal issues, and family pressure affecting their studies and future job prospects.",User faces legal and familial pressure hindering studies,legal,anxiety
26,Male,"The user is experiencing challenges balancing financial responsibilities, family expectations, and maintaining a harmonious relationship with their spouse.",User faces conflicts in balancing family expectations.,family,relationship
24,Female,"A woman faces conflicts with her partner's family regarding living arrangements post-wedding, causing tensions and questioning of respect and honor.", Woman faces family conflicts over post-wedding living arrangements.,cultural,interpersonal conflict
24,Female,"A widow faces pressure from her late husband's family regarding her daughter's birth registration location, causing conflict over financial and living arrangements.",Widow pressured about daughter's birth registration location.,family,stress
25,Male,"A person faces a legal dispute over inheritance rights due to falsified documents submitted by siblings, seeking advice on the next steps.", Legal dispute over inheritance rights.,legal,family
26,Female,A person seeks advice on revising a court order regarding bail conditions and hearing location in a divorce case., Seeking guidance on court order revision.,legal,family
24,Male," A 24-year-old man confesses his love to his best friend, who rejects him, causing emotional turmoil.",Confession of love and rejection aftermath.,love,heartbreak
33,Male,"A married man faces challenges as his wife struggles to get along with his mother, leading to marital discord.",Marital discord due to in-law issues,marital,family
26,Male,"A young man faces family pressure regarding marriage arrangements and the requirement for dowry, leading to a conflict of values.",Family pressure for traditional marriage customs.,cultural,family
25,Female,"Family dynamics become strained after the divorce of the parents, leading to conflicts and restrictions on siblings' relationships and living arrangements.",Family discord post-parental divorce.,family,interpersonal conflict
